i,T,Qmin
291,1.534500,16.0
292,1.534500,16.0
293,1.534500,16.0
294,1.534500,16.0
295,1.534500,16.0
296,1.534500,16.0
297,1.534500,16.0
298,1.534500,16.0
299,1.534500,16.0
300,1.534500,16.0
301,1.534500,16.0
302,1.534500,16.0
303,1.534500,16.0
304,1.534500,16.0
305,1.534500,16.0
306,1.534500,16.0
307,1.534500,16.0
308,1.534500,16.0
309,1.534500,16.0
310,1.534500,16.0
311,1.534500,16.0
312,1.534500,16.0
313,1.534500,16.0
314,1.534500,16.0
315,1.534500,16.0
316,1.534500,16.0
317,1.534500,16.0
318,1.534500,16.0
319,1.534500,16.0
320,1.534500,16.0
321,1.534500,16.0
322,1.534500,16.0
323,1.534500,16.0
324,1.534500,16.0
325,1.534500,16.0
326,1.534500,16.0
327,1.534500,16.0
328,1.534500,16.0
329,1.534500,16.0
330,1.534500,16.0
331,1.534500,16.0
332,1.534500,16.0
333,1.534500,16.0
334,1.534500,16.0
335,1.534500,16.0
336,1.534500,16.0
337,1.534500,16.0
338,1.534500,16.0
339,1.534500,16.0
340,1.534500,16.0
341,1.534500,16.0
342,1.534500,16.0
343,1.534500,16.0
344,1.534500,16.0
345,1.534500,16.0
346,1.534500,16.0
347,1.534500,16.0
348,1.534500,16.0
349,1.534500,16.0
350,1.534500,16.0
351,1.534500,16.0
352,1.534500,16.0
353,1.534500,16.0
354,1.534500,16.0
355,1.534500,16.0
356,1.534500,16.0
357,1.534500,16.0
358,1.534500,16.0
359,1.534500,16.0
360,1.534500,16.0
361,1.534500,16.0
362,1.534500,16.0
363,1.534500,16.0
364,1.534500,16.0
365,1.534500,16.0
366,1.534500,16.0
367,1.534500,16.0
368,1.534500,16.0
369,1.534500,16.0
370,1.534500,16.0
371,1.534500,16.0
372,1.534500,16.0
373,1.534500,16.0
374,1.534500,16.0
375,1.534500,16.0
376,1.534500,16.0
377,1.534500,16.0
378,1.534500,16.0
379,1.534500,16.0
380,1.534500,16.0
381,1.534500,16.0
382,1.534500,16.0
383,1.534500,16.0
384,1.534500,16.0
385,1.534500,16.0
386,1.534500,16.0
387,1.534500,16.0
388,1.534500,16.0
389,1.534500,16.0
390,1.534500,16.0
391,1.534500,16.0
392,1.534500,16.0
393,1.534500,16.0
394,1.534500,16.0
395,1.534500,16.0
396,1.534500,16.0
397,1.534500,16.0
398,1.534500,16.0
399,1.534500,16.0
400,1.534500,16.0
401,1.534500,16.0
402,1.534500,16.0
403,1.534500,16.0
404,1.534500,16.0
405,1.534500,16.0
406,1.534500,16.0
407,1.534500,16.0
408,1.534500,16.0
409,1.534500,16.0
