i,T,Qmin
291,1.386000,19.0
292,1.386000,19.0
293,1.386000,19.0
294,1.386000,19.0
295,1.386000,19.0
296,1.386000,19.0
297,1.386000,19.0
298,1.386000,19.0
299,1.386000,19.0
300,1.386000,19.0
301,1.386000,19.0
302,1.386000,19.0
303,1.386000,19.0
304,1.386000,19.0
305,1.386000,19.0
306,1.386000,19.0
307,1.386000,19.0
308,1.386000,19.0
309,1.386000,19.0
310,1.386000,19.0
311,1.386000,19.0
312,1.386000,16.0
313,1.386000,16.0
314,1.386000,16.0
315,1.386000,16.0
316,1.386000,16.0
317,1.386000,16.0
318,1.386000,16.0
319,1.386000,16.0
320,1.386000,16.0
321,1.386000,16.0
322,1.386000,16.0
323,1.386000,16.0
324,1.386000,16.0
325,1.386000,16.0
326,1.386000,16.0
327,1.386000,16.0
328,1.386000,16.0
329,1.386000,16.0
330,1.386000,16.0
331,1.386000,16.0
332,1.386000,16.0
333,1.386000,16.0
334,1.386000,16.0
335,1.386000,16.0
336,1.386000,16.0
337,1.386000,16.0
338,1.386000,16.0
339,1.386000,16.0
340,1.386000,16.0
341,1.386000,16.0
342,1.386000,16.0
343,1.386000,16.0
344,1.386000,16.0
345,1.386000,16.0
346,1.386000,16.0
347,1.386000,16.0
348,1.386000,15.0
349,1.386000,15.0
350,1.386000,15.0
351,1.386000,15.0
352,1.386000,15.0
353,1.386000,15.0
354,1.386000,15.0
355,1.386000,15.0
356,1.386000,15.0
357,1.386000,15.0
358,1.386000,15.0
359,1.386000,15.0
360,1.386000,15.0
361,1.386000,15.0
362,1.386000,15.0
363,1.386000,15.0
364,1.386000,15.0
365,1.386000,15.0
366,1.386000,15.0
367,1.386000,15.0
368,1.386000,15.0
369,1.386000,15.0
370,1.386000,15.0
371,1.386000,15.0
372,1.386000,15.0
373,1.386000,15.0
374,1.386000,15.0
375,1.386000,15.0
376,1.386000,15.0
377,1.386000,15.0
378,1.386000,15.0
379,1.386000,15.0
380,1.386000,15.0
381,1.386000,15.0
382,1.386000,15.0
383,1.386000,15.0
384,1.386000,15.0
385,1.386000,15.0
386,1.386000,15.0
387,1.386000,15.0
388,1.386000,15.0
389,1.386000,15.0
390,1.386000,15.0
391,1.386000,15.0
392,1.386000,15.0
393,1.386000,15.0
394,1.386000,15.0
395,1.386000,15.0
