i,T,Qmin
95,21191.050000,26488.0
96,21191.050000,26488.0
97,21191.050000,26488.0
98,21191.050000,26488.0
99,21191.050000,26488.0
100,21191.050000,26488.0
101,21191.050000,26488.0
102,21191.050000,26488.0
103,21191.050000,26488.0
104,21191.050000,26488.0
105,21191.050000,26488.0
106,21191.050000,26488.0
107,21191.050000,26488.0
108,21191.050000,26488.0
109,21191.050000,26488.0
110,21191.050000,26488.0
111,21191.050000,26488.0
112,21191.050000,26488.0
113,21191.050000,26488.0
114,21191.050000,26488.0
115,21191.050000,26488.0
116,21191.050000,26488.0
117,21191.050000,26488.0
118,21191.050000,26488.0
119,21191.050000,26488.0
120,21191.050000,26488.0
121,21191.050000,26488.0
122,21191.050000,26488.0
123,21191.050000,26488.0
124,21191.050000,26488.0
125,21191.050000,26488.0
126,21191.050000,26488.0
127,21191.050000,26488.0
128,21191.050000,26488.0
129,21191.050000,26488.0
130,21191.050000,26488.0
131,21191.050000,26488.0
132,21191.050000,26488.0
133,21191.050000,26488.0
134,21191.050000,26488.0
135,21191.050000,26488.0
136,21191.050000,26488.0
137,21191.050000,26488.0
138,21191.050000,26488.0
139,21191.050000,26488.0
140,21191.050000,26488.0
141,21191.050000,26488.0
142,21191.050000,26488.0
143,21191.050000,26488.0
144,21191.050000,26488.0
145,21191.050000,26488.0
146,21191.050000,26488.0
147,21191.050000,26488.0
148,21191.050000,26488.0
149,21191.050000,26488.0
150,21191.050000,26488.0
151,21191.050000,26488.0
152,21191.050000,26488.0
153,21191.050000,26488.0
154,21191.050000,26488.0
155,21191.050000,26488.0
156,21191.050000,26488.0
157,21191.050000,26488.0
158,21191.050000,26488.0
159,21191.050000,26488.0
160,21191.050000,26488.0
161,21191.050000,26488.0
162,21191.050000,26488.0
163,21191.050000,26488.0
164,21191.050000,26488.0
165,21191.050000,26488.0
166,21191.050000,26488.0
167,21191.050000,26488.0
168,21191.050000,26488.0
169,21191.050000,26488.0
170,21191.050000,26488.0
171,21191.050000,26488.0
172,21191.050000,26488.0
173,21191.050000,26488.0
174,21191.050000,26488.0
175,21191.050000,26488.0
176,21191.050000,26488.0
177,21191.050000,26488.0
178,21191.050000,26488.0
179,21191.050000,26488.0
180,21191.050000,26488.0
181,21191.050000,26488.0
182,21191.050000,26488.0
183,21191.050000,26488.0
184,21191.050000,26488.0
185,21191.050000,26488.0
186,21191.050000,26488.0
187,21191.050000,26488.0
188,21191.050000,26488.0
189,21191.050000,26488.0
190,21191.050000,26488.0
191,21191.050000,26488.0
192,21191.050000,26488.0
193,21191.050000,26488.0
194,21191.050000,26488.0
195,21191.050000,26488.0
196,21191.050000,26488.0
197,21191.050000,26488.0
198,21191.050000,26488.0
199,21191.050000,26488.0
200,21191.050000,26488.0
201,21191.050000,26488.0
202,21191.050000,26488.0
203,21191.050000,14755.0
204,21191.050000,14755.0
205,21191.050000,14755.0
206,21191.050000,14755.0
207,21191.050000,14755.0
208,21191.050000,14755.0
209,21191.050000,14755.0
210,21191.050000,14755.0
211,21191.050000,14755.0
212,21191.050000,14755.0
213,21191.050000,14755.0
214,21191.050000,14755.0
215,21191.050000,14755.0
216,21191.050000,14755.0
217,21191.050000,14755.0
218,21191.050000,14755.0
219,21191.050000,14755.0
220,21191.050000,14755.0
221,21191.050000,14755.0
222,21191.050000,14755.0
223,21191.050000,14755.0
224,21191.050000,14487.0
225,21191.050000,14487.0
226,21191.050000,14487.0
227,21191.050000,14487.0
228,21191.050000,14487.0
229,21191.050000,14487.0
230,21191.050000,14487.0
