i,T,Qmin
291,1.250000,18.0
292,1.250000,18.0
293,1.250000,18.0
294,1.250000,18.0
295,1.250000,18.0
296,1.250000,18.0
297,1.250000,18.0
298,1.250000,18.0
299,1.250000,18.0
300,1.250000,18.0
301,1.250000,18.0
302,1.250000,18.0
303,1.250000,18.0
304,1.250000,18.0
305,1.250000,18.0
306,1.250000,18.0
307,1.250000,18.0
308,1.250000,18.0
309,1.250000,18.0
310,1.250000,18.0
311,1.250000,18.0
312,1.250000,18.0
313,1.250000,18.0
314,1.250000,18.0
315,1.250000,18.0
316,1.250000,18.0
317,1.250000,18.0
318,1.250000,18.0
319,1.250000,18.0
320,1.250000,18.0
321,1.250000,18.0
322,1.250000,18.0
323,1.250000,18.0
324,1.250000,18.0
325,1.250000,18.0
326,1.250000,18.0
327,1.250000,18.0
328,1.250000,18.0
329,1.250000,18.0
330,1.250000,18.0
331,1.250000,18.0
332,1.250000,18.0
333,1.250000,18.0
334,1.250000,18.0
335,1.250000,18.0
336,1.250000,18.0
337,1.250000,18.0
338,1.250000,18.0
339,1.250000,18.0
340,1.250000,18.0
341,1.250000,18.0
342,1.250000,18.0
343,1.250000,18.0
344,1.250000,18.0
345,1.250000,18.0
346,1.250000,18.0
347,1.250000,18.0
348,1.250000,18.0
349,1.250000,18.0
350,1.250000,18.0
351,1.250000,17.0
352,1.250000,17.0
353,1.250000,17.0
354,1.250000,17.0
355,1.250000,17.0
356,1.250000,17.0
357,1.250000,17.0
358,1.250000,17.0
359,1.250000,17.0
360,1.250000,17.0
361,1.250000,17.0
362,1.250000,17.0
363,1.250000,17.0
364,1.250000,17.0
365,1.250000,17.0
366,1.250000,17.0
367,1.250000,17.0
368,1.250000,17.0
369,1.250000,17.0
370,1.250000,17.0
371,1.250000,17.0
372,1.250000,17.0
373,1.250000,17.0
374,1.250000,17.0
375,1.250000,17.0
376,1.250000,17.0
377,1.250000,17.0
378,1.250000,17.0
379,1.250000,17.0
380,1.250000,17.0
381,1.250000,17.0
382,1.250000,17.0
383,1.250000,17.0
384,1.250000,17.0
385,1.250000,17.0
386,1.250000,17.0
387,1.250000,17.0
388,1.250000,17.0
389,1.250000,17.0
390,1.250000,17.0
391,1.250000,17.0
392,1.250000,17.0
393,1.250000,17.0
394,1.250000,17.0
395,1.250000,17.0
396,1.250000,17.0
397,1.250000,17.0
